chown: cannot access `/state/partition1/scratch/pbstmp.385842.rocks.hpc.ntnu.no': No such file or directory
chown: cannot access `/state/partition1/scratch/pbstmp.385842.rocks.hpc.ntnu.no': No such file or directory
p: 1
t: 2
n: 16
time: 17.614126ms
error: 0.00565282


n: 32
time: 5.683899ms
error: 0.00131357


n: 64
time: 6.043911ms
error: 0.000315062


n: 128
time: 9.102106ms
error: 7.70483e-05


n: 256
time: 32.712936ms
error: 1.90444e-05


n: 512
time: 117.759943ms
error: 4.73371e-06


n: 1024
time: 290.641069ms
error: 1.17999e-06


n: 2048
time: 1244.129896ms
error: 2.94568e-07


n: 4096
time: 5354.223967ms
error: 7.35881e-08


n: 8192
time: 23026.465893ms
error: 1.83903e-08


n: 16384
time: 100259.261847ms
error: 4.59673e-09


t: 3
n: 16
time: 2.827883ms
error: 0.00565282


n: 32
time: 3.436089ms
error: 0.00131357


n: 64
time: 4.847050ms
error: 0.000315062


n: 128
time: 7.801056ms
error: 7.70483e-05


n: 256
time: 25.254011ms
error: 1.90444e-05


n: 512
time: 68.755150ms
error: 4.73371e-06


n: 1024
time: 219.028950ms
error: 1.17999e-06


n: 2048
time: 975.749016ms
error: 2.94568e-07


n: 4096
time: 3959.698915ms
error: 7.35881e-08


n: 8192
time: 16637.368917ms
error: 1.83903e-08


n: 16384
time: 72383.763075ms
error: 4.59673e-09


t: 4
n: 16
time: 3.437996ms
error: 0.00565282


n: 32
time: 6.860018ms
error: 0.00131357


n: 64
time: 6.412983ms
error: 0.000315062


n: 128
time: 10.310173ms
error: 7.70483e-05


n: 256
time: 21.142960ms
error: 1.90444e-05


n: 512
time: 62.424898ms
error: 4.73371e-06


n: 1024
time: 198.913097ms
error: 1.17999e-06


n: 2048
time: 823.894024ms
error: 2.94568e-07


n: 4096
time: 3204.138994ms
error: 7.35881e-08


n: 8192
time: 13473.398924ms
error: 1.83903e-08


n: 16384
time: 58349.796057ms
error: 4.59673e-09


t: 5
n: 16
time: 5.300999ms
error: 0.00565282


n: 32
time: 6.722212ms
error: 0.00131357


n: 64
time: 8.263111ms
error: 0.000315062


n: 128
time: 7.941008ms
error: 7.70483e-05


n: 256
time: 18.927097ms
error: 1.90444e-05


n: 512
time: 52.754879ms
error: 4.73371e-06


n: 1024
time: 157.490969ms
error: 1.17999e-06


n: 2048
time: 665.693998ms
error: 2.94568e-07


n: 4096
time: 2755.537987ms
error: 7.35881e-08


n: 8192
time: 11569.615841ms
error: 1.83903e-08


n: 16384
time: 49961.242914ms
error: 4.59673e-09


t: 6
n: 16
time: 4.673004ms
error: 0.00565282


n: 32
time: 6.608009ms
error: 0.00131357


n: 64
time: 6.767035ms
error: 0.000315062


n: 128
time: 9.354115ms
error: 7.70483e-05


n: 256
time: 16.808033ms
error: 1.90444e-05


n: 512
time: 49.647808ms
error: 4.73371e-06


n: 1024
time: 171.188831ms
error: 1.17999e-06


n: 2048
time: 616.683006ms
error: 2.94568e-07


n: 4096
time: 2450.018883ms
error: 7.35881e-08


n: 8192
time: 10181.805849ms
error: 1.83903e-08


n: 16384
time: 44476.979971ms
error: 4.59673e-09


t: 7
n: 16
time: 3.940821ms
error: 0.00565282


n: 32
time: 6.839037ms
error: 0.00131357


n: 64
time: 7.767916ms
error: 0.000315062


n: 128
time: 6.922960ms
error: 7.70483e-05


n: 256
time: 15.988111ms
error: 1.90444e-05


n: 512
time: 47.668934ms
error: 4.73371e-06


n: 1024
time: 148.679972ms
error: 1.17999e-06


n: 2048
time: 550.421000ms
error: 2.94568e-07


n: 4096
time: 2240.803957ms
error: 7.35881e-08


n: 8192
time: 9232.611895ms
error: 1.83903e-08


n: 16384
time: 40431.920052ms
error: 4.59673e-09


t: 8
n: 16
time: 5.557060ms
error: 0.00565282


n: 32
time: 6.854057ms
error: 0.00131357


n: 64
time: 11.919022ms
error: 0.000315062


n: 128
time: 9.497166ms
error: 7.70483e-05


n: 256
time: 18.438816ms
error: 1.90444e-05


n: 512
time: 44.110060ms
error: 4.73371e-06


n: 1024
time: 152.327061ms
error: 1.17999e-06


n: 2048
time: 558.843136ms
error: 2.94568e-07


n: 4096
time: 2077.751160ms
error: 7.35881e-08


n: 8192
time: 8519.442081ms
error: 1.83903e-08


n: 16384
time: 37362.010956ms
error: 4.59673e-09


t: 9
n: 16
time: 5.268097ms
error: 0.00565282


n: 32
time: 13.232946ms
error: 0.00131357


n: 64
time: 22.578001ms
error: 0.000315062


n: 128
time: 22.076845ms
error: 7.70483e-05


n: 256
time: 36.930084ms
error: 1.90444e-05


n: 512
time: 44.471979ms
error: 4.73371e-06


n: 1024
time: 144.601107ms
error: 1.17999e-06


n: 2048
time: 479.233027ms
error: 2.94568e-07


n: 4096
time: 1988.925934ms
error: 7.35881e-08


n: 8192
time: 8025.815964ms
error: 1.83903e-08


n: 16384
time: 35238.294125ms
error: 4.59673e-09


t: 10
n: 16
time: 14.214039ms
error: 0.00565282


n: 32
time: 25.481939ms
error: 0.00131357


n: 64
time: 22.477150ms
error: 0.000315062


n: 128
time: 23.565054ms
error: 7.70483e-05


n: 256
time: 22.622108ms
error: 1.90444e-05


n: 512
time: 50.518990ms
error: 4.73371e-06


n: 1024
time: 148.039103ms
error: 1.17999e-06


n: 2048
time: 493.494034ms
error: 2.94568e-07


n: 4096
time: 1881.042957ms
error: 7.35881e-08


n: 8192
time: 7580.092907ms
error: 1.83903e-08


n: 16384
time: 33182.126999ms
error: 4.59673e-09


t: 11
n: 16
time: 22.569895ms
error: 0.00565282


n: 32
time: 33.128977ms
error: 0.00131357


n: 64
time: 29.117107ms
error: 0.000315062


n: 128
time: 29.449940ms
error: 7.70483e-05


n: 256
time: 27.754068ms
error: 1.90444e-05


n: 512
time: 50.215960ms
error: 4.73371e-06


n: 1024
time: 120.743036ms
error: 1.17999e-06


n: 2048
