chown: cannot access `/state/partition1/scratch/pbstmp.386996.rocks.hpc.ntnu.no': No such file or directory
chown: cannot access `/state/partition1/scratch/pbstmp.386996.rocks.hpc.ntnu.no': No such file or directory
chown: cannot access `/state/partition1/scratch/pbstmp.386996.rocks.hpc.ntnu.no': No such file or directory
p: 1
t: 2
n: 16
time: 2.977848ms
error: 0.00565282


n: 32
time: 2.645969ms
error: 0.00131357


n: 64
time: 3.098011ms
error: 0.000315062


n: 128
time: 4.193068ms
error: 7.70483e-05


n: 256
time: 14.436007ms
error: 1.90444e-05


n: 512
time: 61.850071ms
error: 4.73371e-06


n: 1024
time: 274.180889ms
error: 1.17999e-06


n: 2048
time: 1202.890158ms
error: 2.94568e-07


n: 4096
time: 5305.695057ms
error: 7.35881e-08


n: 8192
time: 22853.734970ms
error: 1.83903e-08


n: 16384
time: 100116.495132ms
error: 4.59673e-09


t: 3
n: 16
time: 4.012108ms
error: 0.00565282


n: 32
time: 3.669977ms
error: 0.00131357


n: 64
time: 4.034996ms
error: 0.000315062


n: 128
time: 7.091999ms
error: 7.70483e-05


n: 256
time: 13.679981ms
error: 1.90444e-05


n: 512
time: 49.624920ms
error: 4.73371e-06


n: 1024
time: 198.559046ms
error: 1.17999e-06


n: 2048
time: 889.759064ms
error: 2.94568e-07


n: 4096
time: 3837.123871ms
error: 7.35881e-08


n: 8192
time: 16491.890907ms
error: 1.83903e-08


n: 16384
time: 72431.672812ms
error: 4.59673e-09


t: 4
n: 16
time: 3.808022ms
error: 0.00565282


n: 32
time: 3.162146ms
error: 0.00131357


n: 64
time: 4.132986ms
error: 0.000315062


n: 128
time: 5.960941ms
error: 7.70483e-05


n: 256
time: 12.079954ms
error: 1.90444e-05


n: 512
time: 40.565014ms
error: 4.73371e-06


n: 1024
time: 163.266897ms
error: 1.17999e-06


n: 2048
time: 722.007036ms
error: 2.94568e-07


n: 4096
time: 3135.181189ms
error: 7.35881e-08


n: 8192
time: 13397.749186ms
error: 1.83903e-08


n: 16384
time: 58372.778893ms
error: 4.59673e-09


t: 5
n: 16
time: 3.860950ms
error: 0.00565282


n: 32
time: 4.606962ms
error: 0.00131357


n: 64
time: 5.303860ms
error: 0.000315062


n: 128
time: 5.808830ms
error: 7.70483e-05


n: 256
time: 11.293888ms
error: 1.90444e-05


n: 512
time: 36.040068ms
error: 4.73371e-06


n: 1024
time: 138.325214ms
error: 1.17999e-06


n: 2048
time: 628.893137ms
error: 2.94568e-07


n: 4096
time: 2658.545971ms
error: 7.35881e-08


n: 8192
time: 11342.006922ms
error: 1.83903e-08


n: 16384
time: 49972.660065ms
error: 4.59673e-09


t: 6
n: 16
time: 4.799128ms
error: 0.00565282


n: 32
time: 4.096031ms
error: 0.00131357


n: 64
time: 5.263090ms
error: 0.000315062


n: 128
time: 7.032871ms
error: 7.70483e-05


n: 256
time: 11.216164ms
error: 1.90444e-05


n: 512
time: 33.921957ms
error: 4.73371e-06


n: 1024
time: 124.887943ms
error: 1.17999e-06


n: 2048
time: 564.066887ms
error: 2.94568e-07


n: 4096
time: 2433.952093ms
error: 7.35881e-08


n: 8192
time: 10131.889820ms
error: 1.83903e-08


n: 16384
time: 44408.081055ms
error: 4.59673e-09


t: 7
n: 16
time: 6.894827ms
error: 0.00565282


n: 32
time: 6.811142ms
error: 0.00131357


n: 64
time: 6.369114ms
error: 0.000315062


n: 128
time: 6.165981ms
error: 7.70483e-05


n: 256
time: 14.733076ms
error: 1.90444e-05


n: 512
time: 32.397985ms
error: 4.73371e-06


n: 1024
time: 116.212130ms
error: 1.17999e-06


n: 2048
time: 527.158022ms
error: 2.94568e-07


n: 4096
time: 2193.835974ms
error: 7.35881e-08


n: 8192
time: 9108.181000ms
error: 1.83903e-08


n: 16384
time: 40337.779999ms
error: 4.59673e-09


t: 8
n: 16
time: 4.662991ms
error: 0.00565282


n: 32
time: 7.685900ms
error: 0.00131357


n: 64
time: 16.745090ms
error: 0.000315062


n: 128
time: 8.901119ms
error: 7.70483e-05


n: 256
time: 21.636963ms
error: 1.90444e-05


n: 512
time: 29.313803ms
error: 4.73371e-06


n: 1024
time: 116.344929ms
error: 1.17999e-06


n: 2048
time: 497.896910ms
error: 2.94568e-07


n: 4096
time: 2077.574968ms
error: 7.35881e-08


n: 8192
time: 8524.559975ms
error: 1.83903e-08


n: 16384
time: 37223.239899ms
error: 4.59673e-09


t: 9
n: 16
time: 5.558014ms
error: 0.00565282


n: 32
time: 14.002085ms
error: 0.00131357


n: 64
time: 13.534069ms
error: 0.000315062


n: 128
time: 10.794163ms
error: 7.70483e-05


n: 256
time: 23.737907ms
error: 1.90444e-05


n: 512
time: 53.332090ms
error: 4.73371e-06


n: 1024
time: 121.495962ms
error: 1.17999e-06


n: 2048
time: 451.266050ms
error: 2.94568e-07


n: 4096
time: 1884.434938ms
error: 7.35881e-08


n: 8192
time: 8005.918026ms
error: 1.83903e-08


n: 16384
time: 34965.767860ms
error: 4.59673e-09


t: 10
n: 16
time: 18.891096ms
error: 0.00565282


n: 32
time: 18.547058ms
error: 0.00131357


n: 64
time: 16.571999ms
error: 0.000315062


n: 128
time: 29.094934ms
error: 7.70483e-05


n: 256
time: 35.609961ms
error: 1.90444e-05


n: 512
time: 47.688007ms
error: 4.73371e-06


n: 1024
time: 100.121021ms
error: 1.17999e-06


n: 2048
time: 444.366932ms
error: 2.94568e-07


n: 4096
time: 1801.221132ms
error: 7.35881e-08


n: 8192
time: 7523.599148ms
error: 1.83903e-08


n: 16384
time: 33061.234951ms
error: 4.59673e-09


t: 11
n: 16
time: 17.416954ms
error: 0.00565282


n: 32
time: 21.646976ms
error: 0.00131357


n: 64
time: 15.653849ms
error: 0.000315062


n: 128
time: 17.158031ms
error: 7.70483e-05


n: 256
time: 25.080919ms
error: 1.90444e-05


n: 512
